nama_produk,kategori,username,rating,ulasan,tanggal,ulasan_bersih,sentimen,panjang_ulasan
POCO C71,handphone,d***i,3,"PENGIRIMAN LAMBAT, SEMOGA MEREVIEW PIHAK EKPEDISI YANG DI PAKAI UNTUK PENGIRMAN NYA",8 bulan lalu,pengiriman lambat semoga mereview pihak ekpedisi yang di pakai untuk pengirman nya,netral,12
POCO C71,handphone,G***n,3,"Saya protes Ekspedisi JNE yang slalu lama ngantar barang ke konsumen, di endapkan dlu di kantor. Tunggu jadwal baru dikirim ke konsumen. Jangan kirim lewat JNE lagi",7 bulan lalu,saya protes ekspedisi jne yang slalu lama ngantar barang ke konsumen di endapkan dlu di kantor tunggu jadwal baru dikirim ke konsumen jangan kirim lewat jne lagi,netral,27
POCO C71,handphone,s***i,3,Tangerang jakarta barang mutar mutar kadang sedang di antar dan balik lagi ke gudang akhirnya lama juga sampai😆,Lebih dari 1 tahun lalu,tangerang jakarta barang mutar mutar kadang sedang di antar dan balik lagi ke gudang akhirnya lama juga sampai,netral,18
POCO C71,handphone,E***n,3,kurang suka...biasa aja,10 bulan lalu,kurang sukabiasa aja,netral,3
POCO C71,handphone,Hermen,3,Suara speaker-nya terlalu kecil,5 hari lalu,suara speakernya terlalu kecil,netral,4
POCO C71,handphone,Riki,3,Made in Indonesian,9 bulan lalu,made in indonesian,netral,3
POCO C71,handphone,M***a,2,pengiriman lmayan lama,10 bulan lalu,pengiriman lmayan lama,negatif,3
POCO C71,handphone,Ridwan,1,Order varian Gold ditambah note lagi minta Gold yang dikirim Silver. Seperti biasa penjual minta video unboxing. Sudah dikasihpun masih tidak mau mengakui dr penjual sala...,8 bulan lalu,order varian gold ditambah note lagi minta gold yang dikirim silver seperti biasa penjual minta video unboxing sudah dikasihpun masih tidak mau mengakui dr penjual sala,negatif,26
POCO C71,handphone,satria,1,Barang yg dikirim bermasalah alias HP nya tidak mau jalan stak di gambar playstore terus. tapi toko masih bersih keras tidak mau bertanggung jawab. saya ajukan refund s...,8 bulan lalu,barang yg dikirim bermasalah alias hp nya tidak mau jalan stak di gambar playstore terus tapi toko masih bersih keras tidak mau bertanggung jawab saya ajukan refund s,negatif,28
POCO C71,handphone,B***y,1,"Produk yg dikirim bermasalah, ketika pengajuan komplain, penjual menolak pengajuan REFUND saya.",10 bulan lalu,produk yg dikirim bermasalah ketika pengajuan komplain penjual menolak pengajuan refund saya,negatif,12
POCO C71,handphone,Rasyel,1,"Kecewa padahal seler resmi tapi pelayanan bagusan orang konter, pesannya gold yang datang silver",9 bulan lalu,kecewa padahal seler resmi tapi pelayanan bagusan orang konter pesannya gold yang datang silver,negatif,14
POCO C71,handphone,Tanti,1,dus ya penyok baget,7 bulan lalu,dus ya penyok baget,negatif,4
POCO C71,handphone,faisal,1,⭐hwhjuwiwjnabbahhahajajwjahwhwhhwhahhabvffghhhhhhhfrtt,9 bulan lalu,hwhjuwiwjnabbahhahajajwjahwhwhhwhahhabvffghhhhhhhfrtt,negatif,1
POCO C71,handphone,hadi,1,Hp nya bermasalah kak nge hang lemot bgt gimana ini,3 bulan lalu,hp nya bermasalah kak nge hang lemot bgt gimana ini,negatif,10
POCO C71,handphone,A***y,1,"Hp-nya ngefreeze terus restart mulu pas lagi dipake, udah gitu sinyal juga suka ilang.",2 bulan lalu,hpnya ngefreeze terus restart mulu pas lagi dipake udah gitu sinyal juga suka ilang,negatif,14
POCO C71,handphone,S***n,1,untuk Xiaomi official anda kontlo 🖕,9 bulan lalu,untuk xiaomi official anda kontlo,negatif,5
POCO C71,handphone,citra,1,saya mint di refund loh dari awal,7 bulan lalu,saya mint di refund loh dari awal,negatif,7
POCO C71,handphone,enggar,1,toko ribet,5 bulan lalu,toko ribet,negatif,2
Infinix Smart 20 4/64GB,handphone,Noona,5,"Barang masih bersegel, ori dan cakep 😊",2 minggu lalu,barang masih bersegel ori dan cakep,positif,6
Infinix Smart 20 4/64GB,handphone,Hairil,5,"Paket Sampai dgn aman Packingan juga rapi dan bagus. Brg yg dpesan juga sesuai dgn pesanan Yg ksekian kalinya order dsini selain murah,original, pngiriman lumyan cepat, s...",2 hari lalu,paket sampai dgn aman packingan juga rapi dan bagus brg yg dpesan juga sesuai dgn pesanan yg ksekian kalinya order dsini selain murahoriginal pngiriman lumyan cepat s,positif,27
Infinix Smart 20 4/64GB,handphone,Rumini,5,"BNIB, paket aman tanpa kendala packing aman",1 bulan lalu,bnib paket aman tanpa kendala packing aman,positif,7
Infinix Smart 20 4/64GB,handphone,A***s,5,"Barang masih segel ,,sesuai pesanan dan tiba dalam kondisi baik ..",2 bulan lalu,barang masih segel sesuai pesanan dan tiba dalam kondisi baik,positif,10
Infinix Smart 20 4/64GB,handphone,Yudi,5,"Barang original Dan Segel ok, pesanan sesuai. fast respon, recommended seller",1 bulan lalu,barang original dan segel ok pesanan sesuai fast respon recommended seller,positif,11
Infinix Smart 20 4/64GB,handphone,L***a,5,Barang masih di segel dan bagus hpnya,1 bulan lalu,barang masih di segel dan bagus hpnya,positif,7
Infinix Smart 20 4/64GB,handphone,H***k,5,Barang sudah di terima masih segel…pakingan bagus…,2 bulan lalu,barang sudah di terima masih segelpakingan bagus,positif,7
Infinix Smart 20 4/64GB,handphone,Andrian,5,"barang sesuai, garansi resmi, packing aman dan rapih. pengiriman cepat. terimakasih",1 bulan lalu,barang sesuai garansi resmi packing aman dan rapih pengiriman cepat terimakasih,positif,11
Infinix Smart 20 4/64GB,handphone,h***k,5,sesuai pesanan... masih segel dan pengiriman cepat,2 bulan lalu,sesuai pesanan masih segel dan pengiriman cepat,positif,7
Infinix Smart 20 4/64GB,handphone,J***o,5,pengiriman cepat barang terima dengan aman dan nyaman dipakai,1 bulan lalu,pengiriman cepat barang terima dengan aman dan nyaman dipakai,positif,9
Infinix Smart 20 4/64GB,handphone,s***i,5,barang sesuai pesanan....garansi resmi dan masih segel...,1 bulan lalu,barang sesuai pesanangaransi resmi dan masih segel,positif,7
Infinix Smart 20 4/64GB,handphone,Pratiwi,5,alhamdulillah barang sampai dengan selamat dan msh tersegel 👍🏻,1 bulan lalu,alhamdulillah barang sampai dengan selamat dan msh tersegel,positif,8
Infinix Smart 20 4/64GB,handphone,s***i,5,barang sesuai pesanan... garansi resmi... semoga awet,3 minggu lalu,barang sesuai pesanan garansi resmi semoga awet,positif,7
Infinix Smart 20 4/64GB,handphone,v***i,5,barang sesuai pesanan...pastinya harga termurah cuma di official store...,1 bulan lalu,barang sesuai pesananpastinya harga termurah cuma di official store,positif,9
Infinix Smart 20 4/64GB,handphone,ahmad,5,trimakasih kak brang original.... harga paling murah pokonya,1 bulan lalu,trimakasih kak brang original harga paling murah pokonya,positif,8
Infinix Smart 20 4/64GB,handphone,H***k,5,Barang sesuai pesanan…dapat harga sebelum naik…tq infinix,1 bulan lalu,barang sesuai pesanandapat harga sebelum naiktq infinix,positif,7
Infinix Smart 20 4/64GB,handphone,h***k,5,"barang, sudah di Terima ... garansi resmi dan masih segel",4 hari lalu,barang sudah di terima garansi resmi dan masih segel,positif,9
Infinix Smart 20 4/64GB,handphone,R***n,5,hp ram 4/64 sudah tiba di rumah dengan selamat,1 bulan lalu,hp ram sudah tiba di rumah dengan selamat,positif,8
Infinix Smart 20 4/64GB,handphone,H***k,5,barang sesuai pesanan.. pengiriman cepat,1 bulan lalu,barang sesuai pesanan pengiriman cepat,positif,5
Infinix Smart 20 4/64GB,handphone,Lip,5,"Barang baru, original dan garansi resmi.",1 minggu lalu,barang baru original dan garansi resmi,positif,6
Infinix Smart 20 4/64GB,handphone,Bani,5,barang original langsung dari official,3 minggu lalu,barang original langsung dari official,positif,5
Infinix Smart 20 4/64GB,handphone,H***k,5,barang sesuai pesanan... garansi resmi,3 minggu lalu,barang sesuai pesanan garansi resmi,positif,5
Infinix Smart 20 4/64GB,handphone,P***r,5,"mantap......., ok.......... ori......",2 bulan lalu,mantap ok ori,positif,3
Infinix Smart 20 4/64GB,handphone,Alif,5,mantapppp admin joss barang joss,1 bulan lalu,mantapppp admin joss barang joss,positif,5
Infinix Smart 20 4/64GB,handphone,H***o,5,ok banget barangnya segel,1 bulan lalu,ok banget barangnya segel,positif,4
Infinix Smart 20 4/64GB,handphone,edi,5,pengiriman cepat sesuai,2 bulan lalu,pengiriman cepat sesuai,positif,3
Infinix Smart 20 4/64GB,handphone,Rendis,4,"barang ori, bagus, tapi rada lemot, pengiriman cepat, sesuai harga lah",1 bulan lalu,barang ori bagus tapi rada lemot pengiriman cepat sesuai harga lah,positif,11
Infinix Smart 20 4/64GB,handphone,H***a,4,"kalau Seminggu gak di restart, di telpon Dan di WA gak Bisa masuk. Setelah di restart baru Bisa. padahal HP sebelum di restart tidak hang.",5 hari lalu,kalau seminggu gak di restart di telpon dan di wa gak bisa masuk setelah di restart baru bisa padahal hp sebelum di restart tidak hang,positif,25
Infinix Smart 20 4/64GB,handphone,y***n,4,proses serah barang ke kurir lama banget.,3 minggu lalu,proses serah barang ke kurir lama banget,positif,7
Infinix Smart 20 4/64GB,handphone,Josua,3,"Charger HP tidak sesuai dengan spek, alias tidak masuk ke HP pda saat mau dicharger",2 bulan lalu,charger hp tidak sesuai dengan spek alias tidak masuk ke hp pda saat mau dicharger,netral,15
Infinix Smart 20 4/256GB,handphone,Redmi,5,"mantap, ram yg mahal alihkan ke internal yg besar. minimal sudah bisa di tambah ram nya",2 minggu lalu,mantap ram yg mahal alihkan ke internal yg besar minimal sudah bisa di tambah ram nya,positif,16
Infinix Smart 20 4/256GB,handphone,R***s,5,"alhamdulillah mendarat sampe tujuan, brng bener2 baru fresh no repack thank you",1 minggu lalu,alhamdulillah mendarat sampe tujuan brng bener baru fresh no repack thank you,positif,12
Infinix Smart 20 4/256GB,handphone,M***h,5,barang sangat rekomendasi banget bagus dan sangat memuaskan sekali trimakasih buat infinix,1 minggu lalu,barang sangat rekomendasi banget bagus dan sangat memuaskan sekali trimakasih buat infinix,positif,12
Infinix Smart 20 4/256GB,handphone,ahmad,5,trimakasih dapat promo murah... produk original garansi resmi sagel..,1 hari lalu,trimakasih dapat promo murah produk original garansi resmi sagel,positif,9
Infinix Smart 20 4/256GB,handphone,M***i,5,makasih barang nyaaaa yah,1 minggu lalu,makasih barang nyaaaa yah,positif,4
Infinix Smart 20 4/256GB,handphone,likhin,5,bagus original,2 minggu lalu,bagus original,positif,2
Infinix Smart 20 4/256GB,handphone,yudha,5,mantap pengriman cepat..barang ORI..harga pas..thanks Infinix..,4 hari lalu,mantap pengriman cepatbarang oriharga pasthanks infinix,positif,6
Infinix Smart 20 4/256GB,handphone,Teger,5,good,6 hari lalu,good,positif,1
Infinix Smart 20 4/256GB,handphone,Hendri,5,puas. original. cepat sampe,2 minggu lalu,puas original cepat sampe,positif,4
Infinix Smart 20 4/256GB,handphone,Baby,5,"Barang baru, original dan garansi resmi.",Hari ini,barang baru original dan garansi resmi,positif,6
OPPO A6t,handphone,Tono,5,"Alhamdulillah barang sampai tujuan,kualitas asli original OPO,respon seler sangat jempol,pacing aman,hari libur ttp di kirim,kurir nya juga SDH langganan Aman,SMOGA laris...",1 minggu lalu,alhamdulillah barang sampai tujuankualitas asli original oporespon seler sangat jempolpacing amanhari libur ttp di kirimkurir nya juga sdh langganan amansmoga laris,positif,21
OPPO A6t,handphone,j***a,5,"Packaging aman, barang sesuai deskripsi. Baterai awet dan charging juga cepat. Kamera jernih, performanya stabil buat harian.",3 bulan lalu,packaging aman barang sesuai deskripsi baterai awet dan charging juga cepat kamera jernih performanya stabil buat harian,positif,17
OPPO A6t,handphone,king,5,terbaikkk pengiriman cepat respon cepat juga ori asli,2 bulan lalu,terbaikkk pengiriman cepat respon cepat juga ori asli,positif,8
OPPO A6t,handphone,A***n,5,"Barang masih tersegel, paking bagus, barang cepat sampe, mantap lah",1 bulan lalu,barang masih tersegel paking bagus barang cepat sampe mantap lah,positif,10
OPPO A6t,handphone,firman,5,semoga awet,1 bulan lalu,semoga awet,positif,2
OPPO A6t,handphone,Kimi,5,"barang datang sesuai estimasi, packaging aman dan segel utuh. baterai tahan lama, dipakai dari pagi sampai malam nggak perlu sering ngecas. kamera hasilnya bagus buat fot...",3 bulan lalu,barang datang sesuai estimasi packaging aman dan segel utuh baterai tahan lama dipakai dari pagi sampai malam nggak perlu sering ngecas kamera hasilnya bagus buat fot,positif,26
OPPO A6t,handphone,Dzakey,5,Dapat gift juga 👍😄 Bismillah cuan,2 bulan lalu,dapat gift juga bismillah cuan,positif,5
OPPO A6t,handphone,A***y,5,"Barang sampai dlm kondisi yg aman, pake buble wrap tebal + kardus. pengiriman standar. Hp sudah dicek semua aman, hasil kamera doang yang kurang buat low light (noise nya...",3 minggu lalu,barang sampai dlm kondisi yg aman pake buble wrap tebal kardus pengiriman standar hp sudah dicek semua aman hasil kamera doang yang kurang buat low light noise nya,positif,28
OPPO A6t,handphone,Mahbub,5,mantaafff barang bagus pengemasan baik masih segel dan ori oppo.. trimakasih,2 bulan lalu,mantaafff barang bagus pengemasan baik masih segel dan ori oppo trimakasih,positif,11
